neg_utilization,neg_min_speed
-9.756097560975610095e-02,2.389058269148251590e+00
-9.756097560975610095e-02,2.389058269148251590e+00
-5.609756097560976151e-01,1.124917183749622751e+01
-5.609756097560976151e-01,1.124917183749622751e+01
-1.829268292682926789e-01,4.144865617400535385e+00
-1.829268292682926789e-01,4.144865617400535385e+00
-1.829268292682926789e-01,4.144865617400535385e+00
-9.756097560975610095e-02,2.389058269148251590e+00
-1.829268292682926789e-01,4.144865617400535385e+00
-9.756097560975610095e-02,2.389058269148251590e+00
-4.756097560975609539e-01,1.002429145472110683e+01
-9.756097560975610095e-02,2.389058269148251590e+00
-1.829268292682926789e-01,4.144865617400535385e+00
-9.756097560975610095e-02,2.389058269148251590e+00
-9.756097560975610095e-02,2.389058269148251590e+00
-4.695121951219511924e-01,9.901803416443595296e+00
-1.768292682926829174e-01,4.022377579123023850e+00
-4.817073170731707155e-01,1.014677949299861837e+01
-1.768292682926829174e-01,4.022377579123023850e+00
-4.695121951219511924e-01,9.901803416443595296e+00
